id_conta,id_fornecedor,id_categoria,id_centro_custo,id_banco,numero_nf,data_emissao,data_vencimento,valor,status,observacoes,created_at,updated_at
32,347,2,9,10,NF00000032,2025-05-06,2025-05-25,525.68,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
33,495,11,12,2,NF00000033,2026-07-17,2026-09-08,469.99,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
34,487,11,12,2,NF00000034,2026-03-04,2026-03-26,4202.37,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
35,199,8,6,4,NF00000035,2025-03-07,2025-03-29,265.14,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
36,375,6,11,8,NF00000036,2026-07-15,2026-08-25,6468.63,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
37,380,8,8,2,NF00000037,2025-01-26,2025-03-04,7494.67,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
38,206,8,8,7,NF00000038,2025-05-18,2025-06-10,101.94,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
39,291,17,1,5,NF00000039,2024-11-04,2024-12-23,99633.82,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
40,438,11,12,8,NF00000040,2024-10-06,2024-11-29,971.84,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
41,370,6,11,1,NF00000041,2026-07-07,2026-08-16,625.76,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
42,260,3,11,1,NF00000042,2024-11-02,2024-11-13,267.24,Cancelada,Lançamento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
43,273,8,8,4,NF00000043,2024-10-16,2024-11-30,13545.13,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
44,332,11,11,10,NF00000044,2025-08-03,2025-08-26,3260.91,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
45,457,6,11,6,NF00000045,2025-08-06,2025-09-11,704.52,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
46,304,8,6,2,NF00000046,2026-03-24,2026-04-04,3251.97,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
47,414,6,11,4,NF00000047,2026-04-14,2026-05-06,414.11,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
48,410,8,6,5,NF00000048,2024-08-30,2024-10-27,15553.1,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
49,420,11,11,9,NF00000049,2026-03-16,2026-03-31,9490.68,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
50,38,11,11,2,NF00000050,2025-08-15,2025-09-29,1621.79,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
51,390,11,12,6,NF00000051,2025-02-07,2025-03-02,2055.94,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
52,466,17,1,2,NF00000052,2025-06-13,2025-08-08,5661.3,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
53,225,11,12,5,NF00000053,2024-12-11,2024-12-18,3822.67,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
54,313,11,12,2,NF00000054,2026-04-09,2026-06-08,1596.22,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
55,396,8,6,10,NF00000055,2025-05-11,2025-07-07,1167.32,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
56,9,11,12,6,NF00000056,2024-11-16,2024-12-19,192.51,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
57,232,8,8,3,NF00000057,2025-12-12,2026-01-14,246.25,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
58,44,10,15,3,NF00000058,2026-07-17,2026-09-04,937.73,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
59,400,9,13,4,NF00000059,2026-04-30,2026-06-06,6621.43,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
60,240,17,1,4,NF00000060,2026-08-13,2026-09-03,2220.76,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
61,137,8,8,1,NF00000061,2026-05-24,2026-07-19,350.74,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
62,453,17,1,6,NF00000062,2024-12-15,2025-01-12,983.03,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
63,333,11,11,2,NF00000063,2025-10-07,2025-10-16,622.53,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
64,216,11,12,10,NF00000064,2024-09-24,2024-11-02,2254.71,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
65,413,11,12,7,NF00000065,2025-04-17,2025-04-24,139.95,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
66,347,2,9,9,NF00000066,2026-06-27,2026-07-27,16055.57,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
67,368,10,15,2,NF00000067,2026-01-15,2026-03-09,14347.33,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
68,169,8,6,9,NF00000068,2025-08-05,2025-09-16,2609.6,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
69,76,11,11,4,NF00000069,2025-12-03,2026-01-18,15159.77,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
70,408,10,15,5,NF00000070,2025-11-08,2025-12-12,9558.12,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
71,440,11,12,10,NF00000071,2026-06-19,2026-07-28,2768.64,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
72,228,11,12,3,NF00000072,2026-07-26,2026-08-23,697.47,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
73,66,17,1,4,NF00000073,2026-07-07,2026-07-16,279.22,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
74,491,8,8,8,NF00000074,2024-08-27,2024-10-09,11831.24,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
75,442,6,11,7,NF00000075,2026-05-16,2026-07-10,690.45,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
76,116,11,11,7,NF00000076,2025-03-17,2025-03-27,15438.68,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
77,191,11,11,4,NF00000077,2025-02-05,2025-03-26,220.01,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
78,73,11,12,9,NF00000078,2024-08-28,2024-10-26,91314.07,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
79,117,3,11,9,NF00000079,2025-12-11,2026-02-03,11688.7,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
80,159,8,6,8,NF00000080,2024-12-21,2025-01-28,673.9,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
81,29,3,11,4,NF00000081,2025-09-12,2025-10-10,357.16,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
82,21,9,13,9,NF00000082,2025-12-19,2026-02-09,444.73,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
83,5,11,12,2,NF00000083,2026-04-23,2026-05-13,519.33,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
84,210,17,1,7,NF00000084,2024-11-01,2024-12-02,3782.09,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
85,320,10,15,1,NF00000085,2025-03-31,2025-05-11,450.99,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
86,437,11,12,9,NF00000086,2026-06-28,2026-08-01,12323.44,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
87,423,11,12,1,NF00000087,2025-11-28,2026-01-27,4192.57,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
88,348,11,11,3,NF00000088,2024-10-04,2024-11-16,4627.72,Cancelada,Lançamento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
89,170,10,15,1,NF00000089,2025-12-31,2026-01-10,4467.41,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
90,358,8,6,7,NF00000090,2025-05-29,2025-06-22,2350.0,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
91,221,17,1,5,NF00000091,2026-06-19,2026-07-18,3996.1,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
92,376,8,8,2,NF00000092,2026-08-22,2026-09-13,4016.93,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
93,126,11,12,1,NF00000093,2026-02-05,2026-03-20,526.2,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
94,30,17,1,8,NF00000094,2026-06-29,2026-08-22,7516.84,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
95,142,11,12,2,NF00000095,2026-08-13,2026-08-21,379.94,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
96,219,8,6,10,NF00000096,2026-08-10,2026-08-29,51732.36,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
97,101,11,12,10,NF00000097,2026-08-07,2026-09-02,1407.61,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
98,493,8,6,10,NF00000098,2026-06-18,2026-07-17,13488.99,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
99,77,13,15,7,NF00000099,2026-06-12,2026-07-15,682.79,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
100,112,8,6,2,NF00000100,2025-02-08,2025-04-01,902.42,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
101,331,8,8,7,NF00000101,2024-08-26,2024-10-23,3601.83,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
102,477,11,12,8,NF00000102,2025-07-28,2025-08-19,13887.12,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
103,242,11,11,5,NF00000103,2024-09-09,2024-10-28,518.24,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
104,82,8,6,6,NF00000104,2025-11-11,2025-12-10,7727.6,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
105,453,17,1,6,NF00000105,2024-12-16,2024-12-23,4520.43,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
106,178,3,11,4,NF00000106,2025-09-21,2025-11-11,2954.31,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
107,469,13,15,8,NF00000107,2025-04-06,2025-05-27,364.81,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
108,39,10,15,5,NF00000108,2026-07-03,2026-08-06,598.13,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
109,103,11,11,9,NF00000109,2025-10-10,2025-10-31,2083.67,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
110,283,8,6,4,NF00000110,2025-12-19,2026-01-07,4803.51,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
111,25,17,1,8,NF00000111,2024-10-17,2024-11-11,4040.83,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
112,376,8,8,4,NF00000112,2024-12-31,2025-01-15,372.04,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
113,14,8,6,1,NF00000113,2026-01-20,2026-03-08,3789.67,Cancelada,Pagamento não autorizado.,2026-07-15 18:28:52,2026-07-15 18:28:52
114,241,6,11,2,NF00000114,2025-03-22,2025-04-19,2877.59,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
115,431,11,12,1,NF00000115,2026-04-08,2026-05-10,6711.31,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
116,454,8,6,2,NF00000116,2024-11-20,2024-12-16,1606.91,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
117,35,8,6,4,NF00000117,2024-09-29,2024-10-20,14094.76,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
118,286,11,12,7,NF00000118,2025-04-06,2025-05-02,4440.67,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
119,53,8,8,10,NF00000119,2025-10-29,2025-12-15,27938.69,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
120,11,6,11,5,NF00000120,2026-07-02,2026-07-19,256.43,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
121,22,11,12,7,NF00000121,2025-10-26,2025-11-20,2165.04,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
122,339,8,8,5,NF00000122,2026-08-20,2026-09-12,3749.54,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
123,287,8,6,10,NF00000123,2026-07-28,2026-08-18,11377.08,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
124,172,11,12,3,NF00000124,2025-11-30,2026-01-26,6071.15,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
125,182,11,12,10,NF00000125,2026-06-16,2026-07-22,2154.44,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
126,432,6,11,5,NF00000126,2026-07-11,2026-08-15,12507.08,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
127,433,10,15,10,NF00000127,2025-10-24,2025-11-01,2289.29,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
128,303,11,11,4,NF00000128,2026-04-30,2026-06-24,13627.99,Cancelada,Lançamento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
129,447,11,12,5,NF00000129,2024-12-13,2025-01-30,7627.86,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
130,178,3,11,5,NF00000130,2025-02-15,2025-02-27,3539.14,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
131,215,8,6,6,NF00000131,2026-01-04,2026-02-01,194.14,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
132,479,8,8,8,NF00000132,2024-12-20,2024-12-29,17203.49,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
133,415,6,11,2,NF00000133,2025-04-19,2025-05-28,973.17,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
134,32,17,1,9,NF00000134,2024-08-22,2024-10-16,566.6,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
135,134,8,8,8,NF00000135,2026-08-18,2026-09-12,594.3,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
136,182,11,12,8,NF00000136,2025-09-21,2025-11-12,68709.73,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
137,122,3,11,5,NF00000137,2026-02-13,2026-03-21,1372.84,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
138,244,8,8,3,NF00000138,2025-09-06,2025-10-09,3035.49,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
139,14,8,6,8,NF00000139,2024-10-01,2024-11-09,2534.34,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
140,235,8,6,3,NF00000140,2025-04-18,2025-05-16,811.01,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
141,476,11,12,5,NF00000141,2026-07-08,2026-08-21,368.7,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
142,312,11,12,8,NF00000142,2025-06-27,2025-08-08,2937.37,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
143,216,11,12,7,NF00000143,2025-10-01,2025-11-13,269.79,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
144,204,6,11,4,NF00000144,2025-01-24,2025-03-17,2272.71,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
145,276,11,12,7,NF00000145,2026-01-03,2026-02-10,14780.29,Cancelada,Documento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
146,69,10,15,3,NF00000146,2025-04-08,2025-04-21,4478.8,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
147,219,8,6,8,NF00000147,2026-01-27,2026-02-07,883.84,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
148,56,8,8,5,NF00000148,2025-06-24,2025-08-13,3599.35,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
149,454,8,6,7,NF00000149,2025-01-21,2025-03-03,4549.75,Cancelada,Documento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
150,254,8,6,10,NF00000150,2025-10-02,2025-11-25,4683.72,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
151,205,8,8,7,NF00000151,2026-02-28,2026-04-04,15558.36,Cancelada,Documento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
152,273,8,8,5,NF00000152,2025-08-19,2025-09-17,816.53,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
153,388,11,12,7,NF00000153,2025-12-26,2026-01-12,3263.71,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
154,250,17,1,2,NF00000154,2025-01-08,2025-02-21,714.82,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
155,360,11,12,4,NF00000155,2026-05-09,2026-07-06,329.79,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
156,132,6,11,5,NF00000156,2026-06-23,2026-08-06,497.56,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
157,255,8,6,7,NF00000157,2026-07-02,2026-08-08,2208.49,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
158,244,8,8,4,NF00000158,2025-09-08,2025-09-16,366.29,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
159,469,13,15,7,NF00000159,2026-04-11,2026-05-26,3743.2,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
160,43,10,15,8,NF00000160,2026-06-14,2026-07-29,16636.11,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
161,60,11,12,4,NF00000161,2026-01-09,2026-02-25,3711.06,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
162,22,11,12,1,NF00000162,2026-02-19,2026-03-03,3318.3,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
163,228,11,12,6,NF00000163,2026-07-19,2026-08-18,218.94,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
164,457,6,11,9,NF00000164,2025-01-09,2025-03-08,8854.55,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
165,466,17,1,6,NF00000165,2026-08-11,2026-09-01,1301.2,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
166,32,17,1,7,NF00000166,2025-05-30,2025-06-06,10486.63,Cancelada,Pagamento não autorizado.,2026-07-15 18:28:52,2026-07-15 18:28:52
167,81,3,11,9,NF00000167,2025-09-06,2025-10-20,774.11,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
168,319,11,12,6,NF00000168,2024-11-21,2024-12-18,122.52,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
169,410,8,6,4,NF00000169,2025-07-23,2025-09-09,2857.07,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
170,92,11,11,2,NF00000170,2025-02-12,2025-02-26,9565.47,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
171,449,6,11,4,NF00000171,2024-12-05,2025-01-07,508.28,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
172,48,10,15,3,NF00000172,2024-09-19,2024-10-22,4334.77,Vencida,Necessita regularização.,2026-07-15 18:28:52,2026-07-15 18:28:52
173,302,8,6,1,NF00000173,2026-06-30,2026-07-30,500.23,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
174,33,17,1,6,NF00000174,2025-05-10,2025-06-03,48693.91,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
175,434,10,15,2,NF00000175,2025-10-22,2025-12-09,6375.1,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
176,243,11,11,10,NF00000176,2026-01-11,2026-03-09,400.16,Cancelada,Lançamento cancelado.,2026-07-15 18:28:52,2026-07-15 18:28:52
177,324,11,12,4,NF00000177,2025-10-08,2025-12-06,8107.36,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
178,400,9,13,6,NF00000178,2026-07-16,2026-08-01,13939.72,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
179,324,11,12,9,NF00000179,2026-06-04,2026-06-19,694.95,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
180,213,8,8,6,NF00000180,2026-07-03,2026-07-26,391.39,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
